iter	Accuracy	MultiClass
0	0.864342911	1.301707282
1	0.8624587847	1.233230444
2	0.8535091851	1.167248939
3	0.8582195007	1.104947122
4	0.8596325954	1.056580547
5	0.8662270372	1.013090986
6	0.8648139425	0.9705956288
7	0.8709373528	0.9306305522
8	0.8666980688	0.8954649504
9	0.8695242581	0.8635051292
10	0.8666980688	0.831882702
11	0.8662270372	0.8052336837
12	0.8666980688	0.7800465867
13	0.8681111634	0.7574811642
14	0.8666980688	0.7375112355
15	0.8671691003	0.7186904197
16	0.8662270372	0.6999543631
17	0.8666980688	0.6824680077
18	0.8671691003	0.6678980058
19	0.868582195	0.6552458283
20	0.8681111634	0.6412099756
21	0.868582195	0.6277387627
22	0.8704663212	0.6163076371
23	0.8704663212	0.6053731312
24	0.8709373528	0.5943884779
25	0.8714083844	0.5832717974
26	0.8732925106	0.572818189
27	0.8751766368	0.5630101908
28	0.8742345737	0.5532677098
29	0.8732925106	0.5453541962
30	0.8742345737	0.5377335511
31	0.8756476684	0.5302061489
32	0.8770607631	0.5225859562
33	0.8765897315	0.5154055244
34	0.8780028262	0.5091368423
35	0.8784738577	0.5030248107
36	0.8784738577	0.4966699479
37	0.8789448893	0.4904085659
38	0.8784738577	0.4848602828
39	0.8789448893	0.4794302684
40	0.8789448893	0.4743927255
41	0.8798869524	0.4699782592
42	0.8794159209	0.4651759856
43	0.8808290155	0.4605119177
44	0.8794159209	0.4558460443
45	0.8808290155	0.4519570965
46	0.8813000471	0.4481827415
47	0.8822421102	0.4445294958
48	0.8822421102	0.4411447601
49	0.8817710787	0.4378574915
50	0.8817710787	0.4342710092
51	0.8822421102	0.4309000553
52	0.8841262365	0.4280608688
53	0.8841262365	0.4252089731
54	0.8841262365	0.4218768179
55	0.8841262365	0.4188617918
56	0.884597268	0.4161365904
57	0.884597268	0.4134356716
58	0.884597268	0.4111022522
59	0.8841262365	0.4084499348
60	0.8836552049	0.4061837174
61	0.884597268	0.4036926442
62	0.884597268	0.4015174737
63	0.8850682996	0.3991866433
64	0.8860103627	0.3969612138
65	0.8869524258	0.3944631483
66	0.8860103627	0.3924289795
67	0.8864813943	0.3900702564
68	0.8869524258	0.3877866788
69	0.8874234574	0.3858979223
70	0.8874234574	0.3843143183
71	0.8874234574	0.3824968158
72	0.888836552	0.3809512922
73	0.888836552	0.3795206112
74	0.8878944889	0.3776979798
75	0.888836552	0.3759679799
76	0.8893075836	0.3744260761
77	0.888836552	0.3728927091
78	0.8897786152	0.3708073448
79	0.8893075836	0.3692780726
80	0.8897786152	0.3677375766
81	0.8893075836	0.3663040155
82	0.8897786152	0.3649306866
83	0.8893075836	0.3630061605
84	0.8897786152	0.3615482527
85	0.8911917098	0.3604063383
86	0.892133773	0.3586685872
87	0.8916627414	0.3572920259
88	0.8916627414	0.3562340389
89	0.892133773	0.3549819793
90	0.8930758361	0.3539087903
91	0.892133773	0.3525947112
92	0.8926048045	0.3510937452
93	0.892133773	0.3498758741
94	0.8926048045	0.348659246
95	0.8926048045	0.3471713563
96	0.8930758361	0.3458611738
97	0.8940178992	0.3450137519
98	0.8940178992	0.3437820122
99	0.8940178992	0.3427079667
100	0.8954309939	0.3418751559
101	0.8949599623	0.3405017286
102	0.8954309939	0.3391702957
103	0.8949599623	0.3379082376
104	0.8954309939	0.3364948988
105	0.8959020254	0.3349445471
106	0.8959020254	0.3338940324
107	0.8959020254	0.3328930994
108	0.896373057	0.331902001
109	0.8973151201	0.3307254142
110	0.8973151201	0.3294975122
111	0.8973151201	0.3287058628
112	0.8973151201	0.3277697823
113	0.8968440886	0.3268480781
114	0.8968440886	0.3257644334
